source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,26,los-angeles-rams,Kelvin Banks,OT,Texas,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,27,baltimore-ravens,Shemar Stewart,EDGE,Texas A&M,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,28,detroit-lions,Derrick Harmon,DL,Oregon,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,29,washington-commanders,Mike Green,EDGE,Marshall,Sun Belt,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,30,buffalo-bills,Walter Nolen,DL,Mississippi,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,31,kansas-city-chiefs,Grey Zabel,IOL,North Dakota St.,FCS,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,32,philadelphia-eagles,Emeka Egbuka,WR,Ohio St.,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
247 Sports,2025-03-28,Zack Pearson,https://www.nflmockdraftdatabase.com/mock-drafts/2025/247-sports-2025-zack-pearson?date=2025-03-28,1,tennessee-titans,Cameron Ward,QB,Miami (FL),ACC,247 Sports,Pearson,247 Sports - Pearson!1
247 Sports,2025-03-28,Zack Pearson,https://www.nflmockdraftdatabase.com/mock-drafts/2025/247-sports-2025-zack-pearson?date=2025-03-28,2,cleveland-browns,Abdul Carter,EDGE,Penn St.,Big Ten,247 Sports,Pearson,247 Sports - Pearson!1
247 Sports,2025-03-28,Zack Pearson,https://www.nflmockdraftdatabase.com/mock-drafts/2025/247-sports-2025-zack-pearson?date=2025-03-28,3,new-york-giants,Travis Hunter,CB,Colorado,Big 12,247 Sports,Pearson,247 Sports - Pearson!1
247 Sports,2025-03-28,Zack Pearson,https://www.nflmockdraftdatabase.com/mock-drafts/2025/247-sports-2025-zack-pearson?date=2025-03-28,4,new-england-patriots,Armand Membou,OT,Missouri,SEC,247 Sports,Pearson,247 Sports - Pearson!1
